Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
9769687,SOFI 2015-D A2 ABS FIX 2.720% 27.10.2036_9769687,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,37.17930867,0.644146488,1,Other Securitization,0.125,4.647413583,0,0.054776305,0.254568144,0
994090,BSARM 2005-12 23A1 CMO VAR 25.02.2036_994090,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,24.08351459,0.068492477,1,Other Securitization,1,24.08351459,0,0.054776305,1.31920594,0
870799,WAMU 2005-AR6 2A1A CMO FLOAT 25.04.45_870799,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,0.403370165,0.068495282,1,Other Securitization,0.166,0.066959447,0,0.054776305,0.003667791,0
6168278_LU0003_LU0003_LXEUR,LU0003 MABS 2005-FRE1 M1 MBS VAR 25.10.2035 LU0003_LXEUR_6168278_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,411.3545256,0.068494369,1,Other Securitization,1,411.3545256,0,0.054776305,22.53248094,0
1928943_LU0003_LU0003_LXEUR,LU0003 MSAC 2006-HE8 A2FP MBS VAR 25.10.2036 LU0003_LXEUR_1928943_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,24.68389443,-1.222409769,1,Other Securitization,1,24.68389443,0,0.054776305,1.352092529,0
20819692,GNR 2017-121 PE CMO FIX 3.000% 20.07.2046_20819692,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,64.25091701,1.151377759,1.151377759,Other Securitization,1,64.25091701,0,0.054776305,3.519427825,0
4877078_LU0003_LU0003_LXEUR,LU0003 CWALT 2005-54CB 2A5 CMO 5.500% 25.11.35 LU0003_LXEUR_4877078_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,169.4839861,0.068492256,1,Other Securitization,1,169.4839861,0,0.054776305,9.283706507,0
4721451,MSBAM 2013-C7 A4 MBS FIX 2.918% 15.02.2046_4721451,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,8502.547722,1.269507128,1.269507128,Other Securitization,0.125,1349.255617,0,0.054776305,73.90723715,0
1929284_LU0003_LU0003_LXEUR,LU0003 SAIL 2006-3 A5 MBS VAR 25.06.2036 LU0003_LXEUR_1929284_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,49.7737277,0.058517518,1,Other Securitization,1,49.7737277,0,0.054776305,2.726420888,0
14504652,SOFI 2016-C A1 ABS VAR 27.10.2036_14504652,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,56.321863,0.072140594,1,Other Securitization,0.125,7.040232875,0,0.054776305,0.385637943,0
