Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
22554298,FG G08831 MBS FIX 4.000% 01.08.2048_22554298,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,283.7478676,2.516619593,2.516619593,Type 1 Securitization,1,2.516619593,0.01,0,0.025166196,7.14085443,0,0.063252303,0.451675491,0
7013364_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH3 A5 MBS VAR 25.03.2037 LU0003_LXEUR_7013364_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,115.4948223,0.064563257,1,Type 1 Securitization,1,1,0.028,0,0.028,3.233855024,0,0.063252303,0.204548779,0
14504604,FN AL5548 MBS VAR 01.05.2038_14504604,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,36.19993964,0.113075305,1,Type 1 Securitization,1,1,0.01,0,0.01,0.361999396,0,0.063252303,0.022897296,0
1928377_LU0003_LU0003_LXEUR,LU0003 CWL 2006-4 2A3 MBS VAR 25.07.2036 LU0003_LXEUR_1928377_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,36.16002905,0.082428902,1,Type 1 Securitization,1,1,0.012,0,0.012,0.433920349,0,0.063252303,0.027446462,0
6846432_LU0003_LU0003_LXEUR,LU0003 FFML 2005-FFH1 M1 MBS VAR 25.06.2036 LU0003_LXEUR_6846432_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,7.693741802,0.068490396,1,Type 1 Securitization,1,1,0.01,0,0.01,0.076937418,0,0.063252303,0.004866469,0
525297_LU0003_LU0003_LXEUR,LU0003 CWL 2004-1 3A MBS VAR 25.04.2034 LU0003_LXEUR_525297_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,9.289091698,0.068494412,1,Type 1 Securitization,1,1,0.01,0,0.01,0.092890917,0,0.063252303,0.005875564,0
22554568,SAIL 2004-8 A1 MBS VAR 25.09.2034_22554568,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,206.6708844,0.068492407,1,Type 1 Securitization,1,1,0.012,0,0.012,2.480050613,0,0.063252303,0.156868914,0
1929214_LU0003_LU0003_LXEUR,LU0003 SAIL 2005-11 A3 MBS VAR 25.01.2036 LU0003_LXEUR_1929214_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,96.1017464,0.068495098,1,Type 1 Securitization,1,1,0.028,0,0.028,2.690848899,0,0.063252303,0.170202391,0
12488134,CCCIT 2017-A5 A5 ABS VAR 22.04.2026_12488134,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,220.5629458,0.094772192,1,Type 1 Securitization,1,1,0.01,0,0.01,2.205629458,0,0.063252303,0.139511144,0
7217343_LU0003_LU0003_LXEUR,LU0003 CMLTI 2006-SHL1 M1 MBS VAR 25.11.2045 LU0003_LXEUR_7217343_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,61.57642205,0.068493614,1,Type 1 Securitization,1,1,0.016,0,0.016,0.985222753,0,0.063252303,0.062317608,0
22554600,MCMLT 2017-2 A1 MBS FIX 2.750% 25.07.2059_22554600,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,137.1823306,3.99994527,3.99994527,Type 1 Securitization,1,3.99994527,0.01,0,0.039999453,5.487218143,0,0.063252303,0.347079187,0
22554243,SASC 2007-BC1 A4 MBS VAR 25.02.2037_22554243,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,92.03056762,0.064081761,1,Type 1 Securitization,1,1,0.016,0,0.016,1.472489082,0,0.063252303,0.093138326,0
22554529,LBMLT 2005-2 M5 MBS VAR 25.04.2035_22554529,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,248.052602,0.068494567,1,Type 1 Securitization,1,1,0.028,0,0.028,6.945472856,0,0.063252303,0.439317156,0
1929112_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WHQ3 M4 MBS VAR 25.06.2035 LU0003_LXEUR_1929112_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,65.45783533,0.068493038,1,Type 1 Securitization,1,1,0.016,0,0.016,1.047325365,0,0.063252303,0.066245742,0
