"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"1551418","CCC","CCC",72.89863906,633.5624896,72.89863906,633.5624896,"N","N",560.66385054,560.66385054,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551421","CC","CC",107.5954612,100.71912663,107.5954612,100.71912663,"N","N",-6.87633457,-6.87633457,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551422","B","B",6.409390224,6.163332827,6.409390224,6.163332827,"N","N",-0.246057397,-0.246057397,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551423","CCC","CCC",13.83403284,13.199713678,13.83403284,13.199713678,"N","N",-0.634319162000002,-0.634319162000002,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551561","CCC","CCC",510.3686861,473.3010418,510.3686861,473.3010418,"N","N",-37.0676443,-37.0676443,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551565","CCC","CCC",1121.479673,1062.622841,1121.479673,1062.622841,"N","N",-58.8568320000002,-58.8568320000002,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551570","CCC","CCC",21.86755173,20.261558831,21.86755173,20.261558831,"N","N",-1.605992899,-1.605992899,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551571","NR","NR",10.18854732,9.061720516,10.18854732,9.061720516,"N","N",-1.126826804,-1.126826804,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551572","NR","NR",284.998943,264.30547048,284.998943,264.30547048,"N","N",-20.69347252,-20.69347252,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551577","CCC","CCC",1286.64475,1192.3177326,1286.64475,1192.3177326,"N","N",-94.3270173999999,-94.3270173999999,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551579","NR","NR",17.40981746,16.378564066,17.40981746,16.378564066,"N","N",-1.031253394,-1.031253394,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551580","NR","NR",54.83263203,51.49171861,54.83263203,51.49171861,"N","N",-3.34091342000001,-3.34091342000001,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551590","NR","AA",28.68896939,26.463668815,28.68896939,3.546131622,"N","N",-2.225300575,-25.142837768,"Change in Rating","No Change in LT_Flag",1,0.134000000029852,-0.865999999970148
"1551594","NR","NR",48.3128913,44.6679685,48.3128913,44.6679685,"N","N",-3.6449228,-3.6449228,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551597","NR","NR",28.58058871,27.963606403,28.58058871,27.963606403,"N","N",-0.616982307000001,-0.616982307000001,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551603","NR","NR",7.838463493,7.294022866,7.838463493,7.294022866,"N","N",-0.544440627,-0.544440627,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551608","NR","NR",17.19405283,16.603176272,17.19405283,16.603176272,"N","N",-0.590876558000001,-0.590876558000001,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551609","NR","NR",55.91677652,52.71458954,55.91677652,52.71458954,"N","N",-3.20218698,-3.20218698,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551610","NR","NR",2.197787131,2.162816654,2.197787131,2.162816654,"N","N",-0.0349704769999999,-0.0349704769999999,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551612","CCC","CCC",321.8757846,304.33425476,321.8757846,304.33425476,"N","N",-17.54152984,-17.54152984,"No Change in Rating","No Change in LT_Flag",1,1,0
"15667675","AAA","AAA",750.2801080363,659.0053266,93.7850135021,82.37566583,"N","N",-91.2747814363,-11.4093476721,"No Change in Rating","No Change in LT_Flag",0.124999999996751,0.125000000007587,1.08359987649465e-11
"1608150","CCC","CCC",50.39668081,26.635553217,50.39668081,26.635553217,"N","N",-23.761127593,-23.761127593,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974053","AAA","AAA",87.6956761606,2.604117969,10.96195952508,0.325514746,"N","N",-85.0915581916,-10.63644477908,"No Change in Rating","No Change in LT_Flag",0.125000000057072,0.124999999951999,-1.05073241774001e-10
"16974055","NR","NR",126.9462264202,107.7371175,126.9462264202,107.7371175,"N","N",-19.2091089202,-19.2091089202,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974056","NR","NR",122.2860870013,112.26516796,122.2860870013,112.26516796,"N","N",-10.0209190413,-10.0209190413,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974057","NR","NR",339.316347062,309.32519687,339.316347062,309.32519687,"N","N",-29.991150192,-29.991150192,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974058","NR","NR",594.496085415,544.5472394,594.496085415,544.5472394,"N","N",-49.948846015,-49.948846015,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974059","NR","NR",400.719243027,364.4756407,400.719243027,364.4756407,"N","N",-36.243602327,-36.243602327,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974060","NR","NR",911.345195513,843.280816,911.345195513,843.280816,"N","N",-68.0643795130001,-68.0643795130001,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974061","NR","NR",10.36515505328,7.640026611,10.36515505328,7.640026611,"N","N",-2.72512844228,-2.72512844228,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974062","NR","NR",824.426069269,743.5073592,824.426069269,743.5073592,"N","N",-80.918710069,-80.918710069,"No Change in Rating","No Change in LT_Flag",1,1,0
"16974079","AAA","AAA",2538.712916561,2129.1507834,317.3391146452,266.14384801,"N","N",-409.562133161,-51.1952666352,"No Change in Rating","No Change in LT_Flag",0.125000000029572,0.125000000039922,1.03499431247656e-11
"16974089","AAA","AAA",1966.862890182,1819.5393981,245.8578611982,227.44242469,"N","N",-147.323492082,-18.4154365082,"No Change in Rating","No Change in LT_Flag",0.124999999962097,0.124999999960155,-1.94225191485486e-12
