"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"7196979","LU0003 RAAC 2006-SP1 M1 MBS VAR 25.09.2045 LU0003_LXEUR_7196979_LU0003_LU0003_LXEUR","BBB","BBB",218.81686867,221.94425758,6.126872323,6.214439212,"N","N",3.12738891000001,0.0875668889999996,"No Change in Rating","No Change in LT_Flag",0.0280000000010968,0.0279999999989187,-2.1781604297999e-12
"7217343","LU0003 CMLTI 2006-SHL1 M1 MBS VAR 25.11.2045 LU0003_LXEUR_7217343_LU0003_LU0003_LXEUR","A","A",119.6973369,90.60727824,1.915157391,1.449716452,"N","N",-29.09005866,-0.465440939,"No Change in Rating","No Change in LT_Flag",0.0160000000050126,0.0160000000017659,-3.24678131602418e-12
"7223154","LU0003 SAIL 2003-BC6 M1 MBS VAR 25.07.2033 LU0003_LXEUR_7223154_LU0003_LU0003_LXEUR","A","A",58.77676227,59.78159355,0.940428196,0.956505497,"N","N",1.00483128000001,0.0160773009999999,"No Change in Rating","No Change in LT_Flag",0.0159999999945557,0.0160000000033455,8.78983691388058e-12
"7313749","LU0003 SASC 2006-WF3 M1 MBS VAR 25.09.2036 LU0003_LXEUR_7313749_LU0003_LU0003_LXEUR","AA","AA",232.60361993,198.7948248,2.791243439,2.385537898,"N","N",-33.80879513,-0.405705541,"No Change in Rating","No Change in LT_Flag",0.0119999999993121,0.0120000000020121,2.69998780277891e-12
"15510671","CFII 2018-2A A1 ABS FIX 3.230% 15.08.2030_15510671","AAA","NA",175.71638146,0,1.757163815,0,"N","NA",-175.71638146,-1.757163815,"Missing Asset ID","Missing Asset ID",0.0100000000022764,0,-0.0100000000022764
"16974047","GFORT 2018-4 A2 ABS VAR 15.09.2023_16974047","AAA","NA",3017.5232464,0,30.175232464,0,"N","NA",-3017.5232464,-30.175232464,"Missing Asset ID","Missing Asset ID",0.01,0,-0.01
"16975229","LU0003 CFII 2018-2A A2 ABS VAR 15.08.2030 LU0003_LXEUR_16975229_LU0003_LU0003_LXEUR","AAA","NA",124.07014168,0,1.240701417,0,"N","NA",-124.07014168,-1.240701417,"Missing Asset ID","Missing Asset ID",0.010000000001612,0,-0.010000000001612
"1928277","LU0003 CWL 2006-1 AV3 MBS VAR 25.07.2036 LU0003_LXEUR_1928277_LU0003_LU0003_LXEUR","A","NA",30.601759228,0,0.489628148,0,"N","NA",-30.601759228,-0.489628148,"Missing Asset ID","Missing Asset ID",0.0160000000115026,0,-0.0160000000115026
"3870714","LU0003 RAAC 2007-SP3 A1 MBS VAR 25.09.2047 LU0003_LXEUR_3870714_LU0003_LU0003_LXEUR","AA","NA",112.468541,0,1.349622492,0,"N","NA",-112.468541,-1.349622492,"Missing Asset ID","Missing Asset ID",0.012,0,-0.012
"4948114","LU0003 CMLTI 2005-OPT4 M4 MBS VAR 25.07.2035 LU0003_LXEUR_4948114_LU0003_LU0003_LXEUR","A","NA",84.01568279,0,1.344250924,0,"N","NA",-84.01568279,-1.344250924,"Missing Asset ID","Missing Asset ID",0.0159999999923824,0,-0.0159999999923824
"6958102","LU0003 RAMP 2005-EFC5 M2 MBS VAR 25.10.2035 LU0003_LXEUR_6958102_LU0003_LU0003_LXEUR","AAA","NA",0.868722751,0,0.008687228,0,"N","NA",-0.868722751,-0.008687228,"Missing Asset ID","Missing Asset ID",0.0100000005640465,0,-0.0100000005640465
"7175530","LU0003 RAAC 2005-RP2 M3 MBS VAR 25.06.2035 LU0003_LXEUR_7175530_LU0003_LU0003_LXEUR","AAA","NA",31.031166782,0,0.310311668,0,"N","NA",-31.031166782,-0.310311668,"Missing Asset ID","Missing Asset ID",0.0100000000058006,0,-0.0100000000058006
